source_case_id,modality,generated_zero_fraction,reference_zero_fraction,generated_largest_zero_component_fraction,reference_largest_zero_component_fraction,generated_boundary_gradient,reference_boundary_gradient,boundary_gradient_ratio,generated_laplacian,reference_laplacian,laplacian_ratio,generated_z_gradient,reference_z_gradient,z_gradient_ratio,generated_repeated_adjacent_z_slices,reference_repeated_adjacent_z_slices,generated_extreme_zscore_fraction,support_size_x,support_size_y,support_size_z,artifact_flag_count,artifact_flags
BraTS-MET-00532-000,t2w,0.0,0.2675153918397162,0.0,0.2675153918397162,12.075822076571491,9.255250218222546,1.3047537118764825,0.4543551504611969,0.5736158490180969,0.7920896035891479,0.17784346679323598,0.15965646838671282,1.1139133202074307,0,0,0.0,35,37,37,0,
BraTS-MET-00532-000,t2f,0.0,0.2675153918397162,0.0,0.2675153918397162,12.72983194569921,6.828154153188305,1.864315254182597,0.6181662082672119,0.52899569272995,1.168565674092895,0.2077481801572599,0.13961820892597498,1.4879733936954251,0,0,0.0,35,37,37,0,
BraTS-MET-00552-000,t1c,0.0,0.28804436229205177,0.0,0.2832569316081331,7.9332832690889665,7.999847403432853,0.9916793244936993,0.7546544075012207,0.6542630791664124,1.1534418363675902,0.2873960072391255,0.2534449475839041,1.133958321043199,0,4,0.0015933456561922365,129,83,85,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00552-000,t1n,0.0,0.28804436229205177,0.0,0.2832569316081331,8.687493465922742,9.232389260195498,0.940979980488689,0.636387050151825,0.5434255599975586,1.1710657300600362,0.22124695284075516,0.22480107609962308,0.9841899188360964,0,4,0.0,129,83,85,1,large_tiled_support
BraTS-MET-00552-000,t2w,0.0,0.28804436229205177,0.0,0.2832569316081331,8.041002930999053,9.504035192029269,0.8460619903578204,0.4929443299770355,0.5139224529266357,0.9591803727777682,0.16538259980463704,0.15317571376515335,1.079692046078526,0,4,0.0,129,83,85,1,large_tiled_support
BraTS-MET-00552-000,t2f,0.0,0.28804436229205177,0.0,0.2832569316081331,8.783615623780895,7.209229594455929,1.2183847814384643,0.5678899884223938,0.5263528823852539,1.0789149398192857,0.19066603187211725,0.13565111916165712,1.4055618048008744,0,4,0.002059149722735675,129,83,85,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00572-000,t1c,0.0,0.019113756613756614,0.0,0.018452380952380953,7.190446865813435,17.80495422445054,0.4038452879558207,0.6138392686843872,1.8757648468017578,0.3272474530754768,0.2001536311138244,0.6248685788540613,0.3203131632588786,0,0,0.0,28,27,20,2,high_frequency_shift;z_continuity_shift
BraTS-MET-00572-000,t1n,0.0,0.018584656084656086,0.0,0.018452380952380953,15.174587445167287,18.536921006575138,0.8186142369482389,0.7904877066612244,0.9987346529960632,0.7914892151682859,0.27994041996342794,0.47246254909606206,0.5925134605886188,0,0,0.0,28,27,20,0,
BraTS-MET-00572-000,t2w,0.0,0.012367724867724868,0.0,0.012235449735449735,10.368348268607397,19.04831733109978,0.5443183294557581,0.49087798595428467,0.7679399251937866,0.6392140450705354,0.19635832770949319,0.43790415142263683,0.4484048097547739,0,0,0.0,28,27,20,0,
BraTS-MET-00572-000,t2f,0.0,0.018584656084656086,0.0,0.018452380952380953,16.37604496171552,13.93046172251079,1.1755565097496241,0.7350950837135315,0.7451209425926208,0.9865446556310647,0.2545634763581412,0.32258565901290803,0.7891345112398658,0,0,0.0,28,27,20,0,
