model,subject_id,all_instance_tp_et,all_instance_fp_et,all_instance_fn_et,all_instance_f1_et,large_instance_tp_et,large_instance_fp_et,large_instance_fn_et,large_instance_f1_et,lesionwise_dsc_mean_et,lesionwise_dsc_std_et,lesionwise_hd95_mean_et,lesionwise_hd95_std_et,lesionwise_nsd_mean_et,lesionwise_nsd_std_et,small_instance_tp_et,small_instance_fn_et,small_instance_fp_et,small_instance_f1_et,all_instance_tp_rc,all_instance_fp_rc,all_instance_fn_rc,all_instance_f1_rc,large_instance_tp_rc,large_instance_fp_rc,large_instance_fn_rc,large_instance_f1_rc,lesionwise_dsc_mean_rc,lesionwise_dsc_std_rc,lesionwise_hd95_mean_rc,lesionwise_hd95_std_rc,lesionwise_nsd_mean_rc,lesionwise_nsd_std_rc,small_instance_tp_rc,small_instance_fn_rc,small_instance_fp_rc,small_instance_f1_rc,all_instance_tp_tc,all_instance_fp_tc,all_instance_fn_tc,all_instance_f1_tc,large_instance_tp_tc,large_instance_fp_tc,large_instance_fn_tc,large_instance_f1_tc,lesionwise_dsc_mean_tc,lesionwise_dsc_std_tc,lesionwise_hd95_mean_tc,lesionwise_hd95_std_tc,lesionwise_nsd_mean_tc,lesionwise_nsd_std_tc,small_instance_tp_tc,small_instance_fn_tc,small_instance_fp_tc,small_instance_f1_tc,all_instance_tp_wt,all_instance_fp_wt,all_instance_fn_wt,all_instance_f1_wt,large_instance_tp_wt,large_instance_fp_wt,large_instance_fn_wt,large_instance_f1_wt,lesionwise_dsc_mean_wt,lesionwise_dsc_std_wt,lesionwise_hd95_mean_wt,lesionwise_hd95_std_wt,lesionwise_nsd_mean_wt,lesionwise_nsd_std_wt,small_instance_tp_wt,small_instance_fn_wt,small_instance_fp_wt,small_instance_f1_wt
completion_focal,BraTS-MET-00167-000.nii.gz,4,0,0,1,4,0,0,1,0.815497964605422,0.04588194644398699,1.25,0.4330127018922193,0.9457276156716286,0.060029785743962984,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,4,0,0,1,4,0,0,1,0.8162800248723884,0.04711086917626374,1.1830127018922192,0.31698729810778065,0.949870608095871,0.05289587730361632,,,,,2,0,2,0.6666666666666666,2,0,1,0.8,0.5098527576392766,0.3787521970691936,129.668400776935,172.10395842809322,0.4229916689708692,0.30075339961087455,0,1,0,0
completion_focal,BraTS-MET-00175-000.nii.gz,3,0,1,0.8571428571428571,2,0,0,1,0.7972181069958848,0.06121810699588476,1,0,0.9817434210526316,0.006743421052631593,1,1,0,0.6666666666666666,0,0,0,,0,0,0,0,,,,,,,,,,,3,0,1,0.8571428571428571,2,0,0,1,0.8327093712930012,0.09670937129300117,1,0,0.9841273187183811,0.009127318718381128,1,1,0,0.6666666666666666,2,0,1,0.8,1,0,0,1,0.8559629666633364,0,2.8284271247461903,0,0.644384708227348,0,1,1,0,0.6666666666666666
completion_focal,BraTS-MET-00180-000.nii.gz,1,0,0,1,1,0,0,1,0.750887501530175,0,2.23606797749979,0,0.8553577280765395,0,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.9351221849544801,0,1,0,0.9657348078896363,0,,,,,1,0,0,1,1,0,0,1,0.9082091838688675,0,3.1622776601683795,0,0.6994380798403034,0,,,,
completion_focal,BraTS-MET-00194-000.nii.gz,1,0,0,1,1,0,0,1,0.9023269385075497,0,5,0,0.7811408327698897,0,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.9477658904971681,0,1,0,0.9753023566128896,0,,,,,1,0,0,1,1,0,0,1,0.8972241360554085,0,3.7416573867739413,0,0.6465737974006284,0,,,,
completion_focal,BraTS-MET-00195-000.nii.gz,1,0,0,1,1,0,0,1,0.5836060696221362,0,2.449489742783178,0,0.8064438993162586,0,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.9315190224937517,0,1.4142135623730951,0,0.9306464329132512,0,,,,,1,0,0,1,1,0,0,1,0.9299873345122592,0,3,0,0.7142947402452147,0,,,,
completion_focal,BraTS-MET-00200-000.nii.gz,20,2,21,0.6349206349206349,14,2,9,0.717948717948718,0.48153869357919377,0.39695028603312915,120.35568771864371,173.3143741511408,0.6248388798654699,0.44542937769982777,3,15,2,0.2608695652173913,0,0,0,,0,0,0,0,,,,,,,,,,,21,1,20,0.6666666666666666,14,1,9,0.7368421052631579,0.5277284361554592,0.41284771471924736,94.44669250378496,160.82584148479586,0.6528158378966179,0.43780349790372075,3,15,1,0.2727272727272727,16,4,16,0.6153846153846154,11,4,9,0.6285714285714286,0.3705928654544767,0.38079528825661013,141.67369107962375,179.18649254587316,0.4501985827765333,0.3631030653343751,1,11,4,0.11764705882352941
completion_focal,BraTS-MET-00202-000.nii.gz,8,27,1,0.36363636363636365,7,27,1,0.3333333333333333,0.16437976776983773,0.32115119700895434,288.5599968790468,155.15582688742293,0.19807925529223866,0.3801996383857756,0,1,27,0,0,2,0,0,0,2,0,0,,,,,,,,,,,8,4,1,0.7619047619047619,8,4,0,0.8,0.5210126829687426,0.384527868130815,126.22915555263857,174.53054597135426,0.57632968384752,0.4488536626657136,0,1,4,0,7,3,0,0.8235294117647058,7,3,0,0.8235294117647058,0.5448642729779022,0.3601704811441202,114.95203759440638,168.96335298414076,0.5415650176793407,0.38155302099902777,,,,
completion_focal,BraTS-MET-00214-000.nii.gz,5,2,20,0.3125,3,2,2,0.6,0.3206481737525264,0.32533222968023534,108.3641166134382,167.37088951802826,0.5102337958404524,0.336306850379233,0,20,2,0,0,0,0,,0,0,0,0,,,,,,,,,,,5,0,20,0.3333333333333333,3,0,2,0.75,0.4251338142977901,0.31669091150337514,2.6368981568917698,0.6014703349188456,0.7019459679881368,0.11804165546270876,0,20,0,0,5,0,16,0.38461538461538464,3,0,2,0.75,0.4475263961881355,0.3099805542466745,2.8679145881426225,0.6549491118306562,0.6867103027627249,0.10624332047892585,0,16,0,0
completion_focal,BraTS-MET-00260-000.nii.gz,1,7,12,0.09523809523809523,1,7,0,0.2222222222222222,0.09410504065995362,0.2489785347038589,326.7048698042206,122.48540141138929,0.10212101854931825,0.27018681871411016,0,12,7,0,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,12,0.14285714285714285,1,0,0,1,0.7953792745700491,0,5.385164807134504,0,0.7783547048893036,0,0,12,0,0,1,1,3,0.3333333333333333,1,1,0,0.6666666666666666,0.44410067682877274,0.44410067682877274,189.19258240356726,183.80741759643274,0.3244365948082455,0.3244365948082455,0,3,1,0
completion_focal,BraTS-MET-00264-000.nii.gz,1,0,0,1,1,0,0,1,0.821867643212137,0,2.23606797749979,0,0.824802414214215,0,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.9136610809011209,0,1.4936728736720406,0,0.8996256574190298,0,,,,,1,0,0,1,1,0,0,1,0.92396824026217,0,3.1622776601683795,0,0.654753436264089,0,,,,
