subject,modality,delta_whole_SSIM,delta_tumor_SSIM,delta_tumor_MSE
BraTS-MET-01149-000,t1n,-0.00598984956741333,-0.0020003914833068848,-0.00017751209088601172
BraTS-MET-01149-000,t1c,-0.0012249946594238281,0.0015811920166015625,-0.0002661998732946813
BraTS-MET-01149-000,t2w,-0.006312012672424316,-0.0015916228294372559,-9.41155303735286e-05
BraTS-MET-01149-000,t2f,-0.004027664661407471,0.00045228004455566406,-8.066470036283135e-05
BraTS-MET-01149-001,t1n,-0.007909655570983887,-0.0046749114990234375,6.278303044382483e-05
BraTS-MET-01149-001,t1c,-0.009244799613952637,-0.00860738754272461,-0.00022961641661822796
BraTS-MET-01149-001,t2w,-0.008684694766998291,-0.0020963549613952637,-7.522976375184953e-05
BraTS-MET-01149-001,t2f,-0.0010619759559631348,0.003911852836608887,-6.37164048384875e-05
BraTS-MET-01172-001,t1n,-0.0008936524391174316,0.03587806224822998,-0.0006693876930512488
BraTS-MET-01172-001,t1c,0.011905789375305176,0.1083289384841919,-0.008340278640389442
BraTS-MET-01172-001,t2w,0.0029751062393188477,0.05017918348312378,-0.0020675124833360314
BraTS-MET-01172-001,t2f,-0.00014930963516235352,0.042369306087493896,-0.0008762053912505507
BraTS-MET-01172-002,t1n,0.0005366802215576172,0.050642311573028564,7.54256616346538e-05
BraTS-MET-01172-002,t1c,0.020506441593170166,0.09277892112731934,-0.001845741644501686
BraTS-MET-01172-002,t2w,0.0017633438110351562,0.04224586486816406,-0.002584803616628051
BraTS-MET-01172-002,t2f,0.0018042922019958496,0.04939800500869751,-0.0006318483501672745
BraTS-MET-01172-004,t1n,-0.002053499221801758,0.023852765560150146,-0.00040373700903728604
BraTS-MET-01172-004,t1c,0.0038241147994995117,0.03477877378463745,-0.0005614645779132843
BraTS-MET-01172-004,t2w,0.0016884803771972656,0.051822662353515625,-0.0019386669155210257
BraTS-MET-01172-004,t2f,-0.0009659528732299805,0.03361016511917114,-0.0013540810905396938
BraTS-MET-01180-000,t1n,0.0007695555686950684,0.08004969358444214,-0.0004021297791041434
BraTS-MET-01180-000,t1c,0.016404151916503906,0.2566060423851013,-0.025574973318725824
BraTS-MET-01180-000,t2w,0.0036631226539611816,0.07932597398757935,-0.003636169945821166
BraTS-MET-01180-000,t2f,-0.0005965828895568848,0.0393710732460022,0.00011781789362430573
BraTS-MET-01180-003,t1n,0.0002606511116027832,0.053105294704437256,6.07779948040843e-05
BraTS-MET-01180-003,t1c,0.030145704746246338,0.32992273569107056,-0.01720935746561736
BraTS-MET-01180-003,t2w,0.002981126308441162,0.09232258796691895,-0.0036820145323872566
BraTS-MET-01180-003,t2f,0.0007337331771850586,0.05851930379867554,-0.0008968217298388481
BraTS-MET-01181-001,t1n,0.00043570995330810547,0.03310149908065796,-0.0001276424154639244
BraTS-MET-01181-001,t1c,0.0004608631134033203,0.04262000322341919,7.71665945649147e-05
BraTS-MET-01181-001,t2w,-0.002454996109008789,0.023554086685180664,-0.00034320843406021595
BraTS-MET-01181-001,t2f,-0.005480527877807617,0.014325559139251709,0.0010108263231813908
BraTS-MET-01181-002,t1n,0.007797181606292725,0.06584149599075317,-0.0008076766971498728
BraTS-MET-01181-002,t1c,0.009827077388763428,0.11241936683654785,-0.009263550862669945
BraTS-MET-01181-002,t2w,-0.0008420944213867188,0.04148125648498535,-0.002581994980573654
BraTS-MET-01181-002,t2f,-0.007383465766906738,0.012240290641784668,-0.006636753212660551
BraTS-MET-01187-000,t1n,-0.01667684316635132,-0.025196611881256104,-7.954996544867754e-05
BraTS-MET-01187-000,t1c,-0.0041915178298950195,-0.005154848098754883,-0.0009819669649004936
BraTS-MET-01187-000,t2w,-0.010694563388824463,-0.018351197242736816,4.773610271513462e-06
BraTS-MET-01187-000,t2f,-0.018700480461120605,-0.024705708026885986,2.056025550700724e-05
BraTS-MET-01187-001,t1n,-0.016513705253601074,-0.016513705253601074,6.481853779405355e-05
BraTS-MET-01187-001,t1c,-0.00780564546585083,-0.00780564546585083,7.391965482383966e-05
BraTS-MET-01187-001,t2w,-0.014416277408599854,-0.014416277408599854,0.00017988367471843958
BraTS-MET-01187-001,t2f,-0.021132946014404297,-0.021132946014404297,0.00044995383359491825
