subject,modality,whole_SSIM,whole_MSE,tumor_SSIM,tumor_MSE,healthy_SSIM,healthy_MSE,KL
BraTS-MET-01181-002,t1c,0.17429786920547485,0.006464687176048756,0.42801058292388916,0.01803186535835266,0.3491731882095337,0.02404315024614334,0.27006831765174866
BraTS-MET-01181-002,t2w,0.25516635179519653,0.002446311293169856,0.7595284581184387,0.004136563744395971,0.5435174703598022,0.0038667311891913414,0.3062407672405243
BraTS-MET-01181-002,t2f,0.17458641529083252,0.0038741969037801027,0.43653780221939087,0.010518154129385948,0.3458293676376343,0.011902177706360817,0.29139652848243713
BraTS-MET-01187-000,t1n,0.7201588749885559,0.0007628003368154168,0.8090692758560181,0.0009530187817290425,0.7201588749885559,0.0006371085764840245,0.6980336308479309
BraTS-MET-01187-000,t1c,0.6699125170707703,0.001772769377566874,0.7176383137702942,0.004486564081162214,0.6699125170707703,0.0019794581457972527,0.7705695629119873
BraTS-MET-01187-000,t2w,0.6629098653793335,0.0014789035776630044,0.7135030627250671,0.0004345760680735111,0.6629098653793335,0.0009453768725506961,0.7358700633049011
BraTS-MET-01187-000,t2f,0.6900020837783813,0.0007289809291251004,0.7580803036689758,0.0003517258446663618,0.6900020837783813,0.0002981094003189355,0.7644570469856262
BraTS-MET-01187-001,t1n,0.7575827836990356,0.0005456642247736454,0.7575827836990356,0.0005456642247736454,0.7575827836990356,0.0003045541816391051,0.6819154024124146
BraTS-MET-01187-001,t1c,0.649499237537384,0.0014854376204311848,0.649499237537384,0.0014854376204311848,0.649499237537384,0.0013301958097144961,0.7136465907096863
BraTS-MET-01187-001,t2w,0.6796667575836182,0.0010792602552101016,0.6796667575836182,0.0010792602552101016,0.6796667575836182,0.0006272316095419228,0.771030843257904
BraTS-MET-01187-001,t2f,0.6964402198791504,0.0007229197071865201,0.6964402198791504,0.0007229197071865201,0.6964402198791504,0.00025774119421839714,0.7295268177986145
BraTS-MET-01187-003,t1n,0.7154026031494141,0.000641335325781256,0.7154026031494141,0.000641335325781256,0.7154026031494141,0.0002906357403844595,0.668665885925293
BraTS-MET-01187-003,t1c,0.675796389579773,0.001464070868678391,0.675796389579773,0.001464070868678391,0.675796389579773,0.001406090334057808,0.7570924162864685
BraTS-MET-01187-003,t2w,0.6745890974998474,0.0014918402303010225,0.6745890974998474,0.0014918402303010225,0.6745890974998474,0.0008039587992243469,0.7551977038383484
BraTS-MET-01187-003,t2f,0.7080949544906616,0.0005711874109692872,0.7080949544906616,0.0005711874109692872,0.7080949544906616,0.00015446940960828215,0.7331368327140808
BraTS-MET-01191-001,t1n,0.5669842958450317,0.0008768045227043331,0.9685500264167786,6.562953058164567e-05,0.5832471251487732,0.0002430049207760021,0.5205684304237366
BraTS-MET-01191-001,t1c,0.4088078737258911,0.002799486741423607,0.6852670907974243,0.004622293636202812,0.4208134412765503,0.004614900331944227,0.5400685667991638
BraTS-MET-01191-001,t2w,0.5128664374351501,0.0015113303670659661,0.945293128490448,0.0005692944978363812,0.5289214849472046,0.0008377351914532483,0.5639228820800781
BraTS-MET-01191-001,t2f,0.5469600558280945,0.0015540866879746318,0.9641707539558411,0.0005078838439658284,0.5634363889694214,0.00029173443908803165,0.5480966567993164
BraTS-MET-01191-002,t1n,0.5713314414024353,0.0009719730587676167,0.9523816704750061,0.00015318371879402548,0.5808321833610535,0.0003275975468568504,0.5231432914733887
BraTS-MET-01191-002,t1c,0.408053994178772,0.002930389018729329,0.7076259255409241,0.0038120283279567957,0.4152870774269104,0.004688988905400038,0.5208466053009033
BraTS-MET-01191-002,t2w,0.5204473733901978,0.0014973381767049432,0.9352262616157532,0.0006299370434135199,0.5299704670906067,0.0009029709617607296,0.5782878398895264
BraTS-MET-01191-002,t2f,0.5393111705780029,0.0015172987477853894,0.9299280047416687,0.00029928184812888503,0.5486563444137573,0.0005344976088963449,0.5790243148803711
BraTS-MET-01191-003,t1n,0.5597013235092163,0.0010433499701321125,0.9464806914329529,0.0003493014955893159,0.5762453079223633,0.00038775254506617785,0.5078104734420776
BraTS-MET-01191-003,t1c,0.4376224875450134,0.002679070457816124,0.7440597414970398,0.0046626063995063305,0.45084404945373535,0.004098041448742151,0.5464369654655457
BraTS-MET-01191-003,t2w,0.5281378626823425,0.0015709316357970238,0.9250295162200928,0.0008901380933821201,0.544646143913269,0.0009453443344682455,0.5774263739585876
BraTS-MET-01191-003,t2f,0.5377200841903687,0.0015019821003079414,0.9244918823242188,0.00037074057036079466,0.5536559820175171,0.0005558552220463753,0.5805274844169617
