blind_code,event_id,core_volume_bin,montage_path,artifact_path,evidence_sha256,review_decision,reviewer,reviewed_at_utc,notes
393b7198cc738a8a,40e7f588f85f3305a49452f2,gt_275,montages/393b7198cc738a8a.png,artifacts/393b7198cc738a8a.npz,4a64fe1fe5530eb3ca622bc946c021fa6d2b0e2700ed9c1625d41d31fb1c2e2f,pending,,,
398d75f9f8db9900,a0169259d59ec31c3dd7f67c,50_275,montages/398d75f9f8db9900.png,artifacts/398d75f9f8db9900.npz,910f8b4953b399d8c51252627aa2f7521af5f18e626bbd070f54f51da07b5322,pending,,,
39c78650fc8217d6,1fc5bd19901935cfb912bb45,50_275,montages/39c78650fc8217d6.png,artifacts/39c78650fc8217d6.npz,cb77e7b4d36625d52f1f9ed9960c52742da8b3dba235ce1687ad636aac95b60e,pending,,,
3b291cfb3dbe863c,c864da0b928c8e1f64645db2,27_49,montages/3b291cfb3dbe863c.png,artifacts/3b291cfb3dbe863c.npz,1d813e9bd0e900f7b4d9cfbc8e98193a7dfd809483481520c3bc677f34f5d812,pending,,,
3b6047f2916e5a7b,2e28db46b24484b62591543f,gt_275,montages/3b6047f2916e5a7b.png,artifacts/3b6047f2916e5a7b.npz,47d425fb72fc2535af578bad920b1bad0d772d27d78a1b731dae5ca2a26e6ab3,pending,,,
3b760f91bc63357c,949d470637ca923991a57198,50_275,montages/3b760f91bc63357c.png,artifacts/3b760f91bc63357c.npz,36815d67a6eec05cb70613cddb16c4ead5f100bf6aa1b572c2f82c735bfda4c1,pending,,,
3c3ce1aa01caa1d4,3e6e2db2fbfeec3b3363834c,gt_275,montages/3c3ce1aa01caa1d4.png,artifacts/3c3ce1aa01caa1d4.npz,3c85f101ecb8f34425b027b787750e3c1f195d597ba6059e1bb8b3b936b74182,pending,,,
3d345e7c461ea029,6c5ba71b5e0700198ccf46fd,gt_275,montages/3d345e7c461ea029.png,artifacts/3d345e7c461ea029.npz,51e633f94f6ef1f534c0eac4eb344b8731cf8b75d0fdeebfb8b72bf91064be5a,pending,,,
3e1b0adf9fb363ba,fc045f0b6f306f008784683f,27_49,montages/3e1b0adf9fb363ba.png,artifacts/3e1b0adf9fb363ba.npz,89079302edb8255433cb75559c30f97cd96c4b7ed158a2ec500673abf6fb48cd,pending,,,
3e2b05dacbc1108b,3e72d4fc1c0440212c413147,27_49,montages/3e2b05dacbc1108b.png,artifacts/3e2b05dacbc1108b.npz,52355dbf0058a05c2517ef4ed8435edb7e3f25bedfcbe027b1b7b8432952cf36,pending,,,
3e2d0bc1f52fb7e3,1fc5bd19901935cfb912bb45,50_275,montages/3e2d0bc1f52fb7e3.png,artifacts/3e2d0bc1f52fb7e3.npz,72d30f38abc93674788b0390a19346a72e53549653b4f29155b469a8466ae0a4,pending,,,
3e5700593ed007cc,1e595ee72419bd3a39dd8614,gt_275,montages/3e5700593ed007cc.png,artifacts/3e5700593ed007cc.npz,5de89ed8151a5a8fc4aff36b0890b17e2ddc7a0198f86e4ac6d21f7972657bec,pending,,,
401c28840799c396,4379ae9033a855085c1bde4a,gt_275,montages/401c28840799c396.png,artifacts/401c28840799c396.npz,1d67e6d43178b942a2885614678066330e5cf0d4ddd679ad7b91281e6d85f600,pending,,,
41af41a9ce45a0c1,b2a8c88f88dbb32b1e595b13,gt_275,montages/41af41a9ce45a0c1.png,artifacts/41af41a9ce45a0c1.npz,4a66a959014dcbdf5ac593f6d306943d8de9262a70416d470417434bc66f46ec,pending,,,
41cb4c3cf5be40cf,bcd8f16557ab20fd7f2f6a3a,50_275,montages/41cb4c3cf5be40cf.png,artifacts/41cb4c3cf5be40cf.npz,c20a0e52d21afd20a57f3f82aca10dc26c0633c98663f9b1df68e5ab6ce1e9a5,pending,,,
