method_a,method_b,metric,primary_endpoint,direction,aggregate_mean_a,aggregate_mean_b,paired_complete_case_count,excluded_nonfinite_pair_count,bootstrap_replicates,seed,status,raw_mean_a_minus_b,benefit_mean_a_over_b,benefit_ci95_low,benefit_ci95_high,bootstrap_probability_a_better,bootstrap_probability_b_better,paired_two_sided_bootstrap_p,paired_effect_dz,wins_a,ties,wins_b
E,FixV3,small_instance_fp_tc,False,lower_is_better,0.5918367346938775,0.5306122448979592,49,54,20000,20260824,available,0.061224489795918366,-0.061224489795918366,-0.22448979591836735,0.10204081632653061,0.19605,0.72405,0.5519,-0.1034380268626024,6,35,8
E,FixV3,small_instance_f1_tc,True,higher_is_better,0.329684396504673,0.32979294246748597,49,54,20000,20260824,available,-0.00010854596281296668,-0.00010854596281296668,-0.07234850372284972,0.07278995286808591,0.4958,0.50415,0.9917,-0.0004186877304481434,8,31,10
E,FixV3,all_instance_tp_wt,False,higher_is_better,3.563106796116505,3.563106796116505,103,0,20000,20260824,available,0.0,0.0,-0.13592233009708737,0.1262135922330097,0.47775,0.46625,1.0,0.0,13,80,10
E,FixV3,all_instance_fp_wt,False,lower_is_better,0.6601941747572816,0.6893203883495146,103,0,20000,20260824,available,-0.02912621359223301,0.02912621359223301,-0.14563106796116504,0.22330097087378642,0.5903,0.3699,0.8194,0.03085119748205596,19,67,17
E,FixV3,all_instance_fn_wt,False,lower_is_better,3.1553398058252426,3.1553398058252426,103,0,20000,20260824,available,0.0,0.0,-0.13592233009708737,0.13592233009708737,0.475,0.4635,1.0,0.0,13,80,10
E,FixV3,all_instance_f1_wt,True,higher_is_better,0.7282567202487361,0.7231357358681793,94,9,20000,20260824,available,0.020615808215636234,0.020615808215636234,-0.008009698512728806,0.05387659613036639,0.915,0.085,0.17,0.13336248784753169,26,49,19
E,FixV3,large_instance_tp_wt,False,higher_is_better,2.8932038834951457,2.9514563106796117,103,0,20000,20260824,available,-0.05825242718446602,-0.05825242718446602,-0.14563106796116504,0.009708737864077669,0.0489,0.915,0.17,-0.1400347384154645,3,93,7
E,FixV3,large_instance_fp_wt,False,lower_is_better,0.6601941747572816,0.6893203883495146,103,0,20000,20260824,available,-0.02912621359223301,0.02912621359223301,-0.14563106796116504,0.21359223300970873,0.595,0.3637,0.81,0.03085119748205596,19,67,17
E,FixV3,large_instance_fn_wt,False,lower_is_better,1.0485436893203883,0.9902912621359223,103,0,20000,20260824,available,0.05825242718446602,-0.05825242718446602,-0.14563106796116504,0.009708737864077669,0.0478,0.91515,0.1697,-0.1400347384154645,3,93,7
E,FixV3,large_instance_f1_wt,True,higher_is_better,0.6884717792347482,0.6770117327208927,103,0,20000,20260824,available,0.011460046513855472,0.011460046513855472,-0.023402816368002736,0.046189969643108356,0.7389,0.2611,0.5222,0.0624836406768373,19,65,19
E,FixV3,lesionwise_dsc_mean_wt,True,higher_is_better,0.6176131342350146,0.6113816529507445,87,16,20000,20260824,available,0.006231481284270004,0.006231481284270004,-0.025678904233586108,0.03822323522087192,0.6448,0.3552,0.7104,0.04104280599683962,40,1,46
E,FixV3,lesionwise_dsc_std_wt,False,lower_is_better,0.185294910148216,0.1971046829086513,87,16,20000,20260824,available,-0.011809772760435268,0.011809772760435268,-0.01278438499217721,0.03900773064842661,0.81665,0.18335,0.3667,0.09650425973147583,30,27,30
E,FixV3,lesionwise_hd95_mean_wt,True,lower_is_better,85.04732969601068,88.86324809160082,87,16,20000,20260824,available,-3.8159183955901614,3.8159183955901614,-12.27653806498822,19.158594571542775,0.6864,0.3136,0.6272,0.05072481183017592,34,18,35
E,FixV3,lesionwise_hd95_std_wt,False,lower_is_better,80.76650176965941,87.31173434888944,87,16,20000,20260824,available,-6.545232579230032,6.545232579230032,-5.982882397583355,19.59597931227514,0.84415,0.15585,0.3117,0.10701746010400257,36,30,21
E,FixV3,lesionwise_nsd_mean_wt,True,higher_is_better,0.6131125179172532,0.6164643200428874,87,16,20000,20260824,available,-0.003351802125634193,-0.003351802125634193,-0.03399219539990861,0.026881746581669516,0.41655,0.58345,0.8331,-0.022902436977887644,37,2,48
E,FixV3,lesionwise_nsd_std_wt,False,lower_is_better,0.18844746110649974,0.2000711152499905,87,16,20000,20260824,available,-0.011623654143490808,0.011623654143490808,-0.012744429868753045,0.035721538804494815,0.82535,0.17465,0.3493,0.09934588517962407,35,27,25
E,FixV3,small_instance_tp_wt,False,higher_is_better,1.1304347826086956,1.065217391304348,46,57,20000,20260824,available,0.06521739130434782,0.06521739130434782,-0.06521739130434782,0.21739130434782608,0.78115,0.1383,0.4377,0.13309765424517186,7,35,4
E,FixV3,small_instance_fn_wt,False,lower_is_better,5.086956521739131,5.1521739130434785,46,57,20000,20260824,available,-0.06521739130434782,0.06521739130434782,-0.06521739130434782,0.1956521739130435,0.78505,0.1385,0.4299,0.13309765424517186,7,35,4
E,FixV3,small_instance_fp_wt,False,lower_is_better,0.7391304347826086,0.9565217391304348,46,57,20000,20260824,available,-0.21739130434782608,0.21739130434782608,-0.08695652173913043,0.5869565217391305,0.8998,0.07625,0.2004,0.18546524818111845,13,26,7
E,FixV3,small_instance_f1_wt,True,higher_is_better,0.2946585812842902,0.2719969647851513,46,57,20000,20260824,available,0.02266161649913889,0.02266161649913889,-0.03828819521508681,0.09024343234937558,0.75715,0.24285,0.4857,0.1017573751306789,11,28,7
